English,Kana,Kanji,Help Text,Source,Section
month,がつ,月,suffix,UDEMY_N5,4
what month,なんがつ,何月,,UDEMY_N5,4
this month,こんげつ,今月,,UDEMY_N5,4
next month,らいげつ,来月,,UDEMY_N5,4
week,しゅう,週,,UDEMY_N5,4
this week,こんしゅう,今週,,UDEMY_N5,4
this week,らいしゅう,来週,,UDEMY_N5,4
last week,せんしゅう,先週,,UDEMY_N5,4
day,ひ/にち,日,,UDEMY_N5,4
today,きょう,今日,,UDEMY_N5,4
yesterday,きのう,昨日,,UDEMY_N5,4
the day before yesterday,おととい,,,UDEMY_N5,4
the day after tomorrow,あさって,,,UDEMY_N5,4
time / o'clock,じ,時,suffix,UDEMY_N5,4
what time,なんじ,何時,,UDEMY_N5,4
minute,ふん,分,suffix,UDEMY_N5,4
what minute,なんぷん,何分,,UDEMY_N5,4
second,びょう,秒,suffix,UDEMY_N5,4
when,いつ,,,UDEMY_N5,4
half,はん,半,,UDEMY_N5,4
the front,まえ,前,,UDEMY_N5,4
the back,うしろ,後ろ,,UDEMY_N5,4
now,いま,今,,UDEMY_N5,4
morning,あさ,朝,,UDEMY_N5,4
daytime,ひる,昼,,UDEMY_N5,4
evening,ばん,晩,,UDEMY_N5,4
night,よる,夜,,UDEMY_N5,4
this morning,けさ,今朝,,UDEMY_N5,4
this evening,こんばん,今晩,,UDEMY_N5,4
rest/a day off,やすみ,休み,,UDEMY_N5,4
every day,まいにち,毎日,,UDEMY_N5,4
every,まい,毎,prefix,UDEMY_N5,4
birthday,たんじょうび,誕生日,,UDEMY_N5,4
party,パーティー,,,UDEMY_N5,4
department store,デパート,,,UDEMY_N5,4
bank,ぎんこう,銀行,,UDEMY_N5,4
post office,ゆうびんきょく,郵便局,,UDEMY_N5,4
library,としょかん,図書館,,UDEMY_N5,4
movie theatre,えいがかん,映画館,,UDEMY_N5,4
supermarket,スーパー,,,UDEMY_N5,4
hospital,びょういん,病院,,UDEMY_N5,4
vegetable shop,やおや,八百屋,,UDEMY_N5,4
art museum,びじゅつかん,美術館,,UDEMY_N5,4
side,がわ,側,suffix,UDEMY_N5,4
Monday,げつようび,月曜日,,UDEMY_N5,4
Tuesday,かようび,火曜日,,UDEMY_N5,4
Wednesday,すいようび,水曜日,,UDEMY_N5,4
Thursday,もくようび,木曜日,,UDEMY_N5,4
Friday,きんようび,金曜日,,UDEMY_N5,4
Saturday,どようび,土曜日,,UDEMY_N5,4
Sunday,にちようび,日曜日,,UDEMY_N5,4
what day of the week,なんようび,何曜日,,UDEMY_N5,4
holiday,しゅくじつ,祝日,,UDEMY_N5,4
weekend,しゅうまつ,週末,,UDEMY_N5,4
present,プレゼント,,,UDEMY_N5,4
all right / ok,だいじょうぶ,大丈夫,,UDEMY_N5,4
truth / really,ほんとう,本当,,UDEMY_N5,4
until,まで,,particle,UDEMY_N5,4
Let me see / well / um,えっと / ええと,,,UDEMY_N5,4
What happened?,どうしましたか。,,,UDEMY_N5,4
That's all right,だいじょうぶです。,,,UDEMY_N5,4
Really?,ほんとうですか。,,,UDEMY_N5,4
Good,よかった！,,,UDEMY_N5,4
The department store is open from 10:00 to 20:00,デパートは 10 じから 20 じまでです,,,UDEMY_N5,4
The meeting is from March 11th to 15th.,かいぎはさんがつじゅういちにちからじゅうごにちまでです,かいぎは 三月十一日から十五日までです,,UDEMY_N5,4
From the bank to the hospital,ぎんこうから びょういんまで,,,UDEMY_N5,4
From the department store to the supermarket,デパートスーパーまで,,,UDEMY_N5,4
Is today September 8th or 9th?,きょうはくがつようかですか、ここのかですか,きょうは 九月八日ですか、 九日ですか,,UDEMY_N5,4
Is that a movie theatre or an art museum?,.あそこは えいがかんですか、びじゅつかんですか,,,UDEMY_N5,4
Is this Mr. Ando's magazine or Mr. Yamada's magazine?,これは あんどうさんの ざっしですか、やまださんの ざっしですか,,,UDEMY_N5,4
When is Mr. Suzuki's birthday?,すずきさんの たんじょうびは いつですか,,,UDEMY_N5,4
When is the meeting?,かいぎは いつですか,,,UDEMY_N5,4
When did Raj come?,ラジさんは いつ きましたか,,,UDEMY_N5,4
When will your father go to Vietnam?,おとうさんは いつ ベトナムに いきますか,,,UDEMY_N5,4
New Year's Day,がんたん,元 旦,,UDEMY_N5,4
Coming of Age Day,せいじんのひ,成 人の日,,UDEMY_N5,4
Vernal Equinox Day,しゅんぶん のひ,春 分の日,,UDEMY_N5,4
Showa Day,しょうわのひ,昭和の日,,UDEMY_N5,4
Constitution Day,けんぽうきねんび,憲法記念日,,UDEMY_N5,4
Greenery Day,みどりのひ,みどりの日,,UDEMY_N5,4
Children's Day,こどものひ,こどもの日,,UDEMY_N5,4
Marine Day,うみのひ,海の日,,UDEMY_N5,4
Respect for the Aged Day,けいろうのひ,敬老の日ひ,,UDEMY_N5,4
Autumnal Equinox Day,しゅうぶんのひ,秋 分の日,,UDEMY_N5,4
Health and Sports Day,たいいくのひ,体育の日,,UDEMY_N5,4
Culture Day,ぶんかのひ,文化の日,,UDEMY_N5,4
Labor Thanksgiving Day,きんろうかんしゃのひ,勤労感謝の日,,UDEMY_N5,4
The Emperor's Birthday,てんのうたんじょうび,天皇誕 生日,,UDEMY_N5,4
